ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
10001333,JE530033,4/18/2016 12:13,7645X N MAIN ST,1641,ASSAULT,AGGRAVATED: HANDGUN,OTHER,TRUE,FALSE,230,4,39,12,4,223741,2319120,2016,4/18/2016 12:13,41.912025,-87.625855
10001334,JE568179,6/14/2016 12:58,2229X N MAIN ST,1580,THEFT,$500 AND UNDER,RESIDENCE,TRUE,FALSE,2000,17,49,57,8,222448,2317686,2016,6/14/2016 12:58,41.768638,-87.75513
10001335,JE552406,3/8/2023 15:13,6231X N MAIN ST,0790,THEFT,OVER $500,SIDEWALK,FALSE,FALSE,130,22,12,,21,223543,2319591,2023,3/8/2023 15:13,41.959111,-87.645615
10001336,JE284693,9/17/2023 15:33,1646X N MAIN ST,0284,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2120,18,44,51,21,223726,2317870,2023,9/17/2023 15:33,41.787081,-87.627359
10001337,JE257420,2/5/2015 23:36,9771X N MAIN ST,0687,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,140,19,13,47,12,223595,2318635,2015,2/5/2015 23:36,41.863584,-87.640434
10001338,JE944483,9/28/2015 18:51,3517X N MAIN ST,1565,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1620,12,9,75,16,225447,2317538,2015,9/28/2015 18:51,41.753826,-87.455213
10001339,JE544451,7/26/2017 13:29,5883X N MAIN ST,1225,ROBBERY,ARMED: HANDGUN,OTHER,TRUE,FALSE,1030,13,20,17,7,224284,2318283,2017,7/26/2017 13:29,41.828337,-87.571526
10001340,JE247687,11/3/2015 20:56,7895X N MAIN ST,0210,ROBBERY,ARMED: HANDGUN,RESIDENCE,FALSE,FALSE,1020,20,11,62,8,225529,2317984,2015,11/3/2015 20:56,41.798468,-87.447074
10001341,JE552168,11/12/2016 14:38,6983X N MAIN ST,1865,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,1150,8,9,17,10,222873,2319467,2016,11/12/2016 14:38,41.946741,
10001342,JE967977,3/14/2016 15:21,0125X N MAIN ST,0554,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,TRUE,FALSE,2310,10,3,32,2,222029,2319498,2016,3/14/2016 15:21,41.949827,-87.797025
10001343,JE486469,7/20/2019 23:31,6934X N MAIN ST,1928,THEFT,RETAIL THEFT,SIDEWALK,FALSE,FALSE,1690,3,24,57,19,223579,2319415,2019,7/20/2019 23:31,41.941554,-87.642006
10001344,JE363487,3/4/2019 11:18,7858X N MAIN ST,1823,BURGLARY,FORCIBLE ENTRY,RETAIL STORE,FALSE,TRUE,2240,9,30,56,1,223293,2317653,2019,3/4/2019 11:18,41.765371,-87.670664
10001345,JE140611,8/17/2023 0:07,3396X N MAIN ST,0154,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1980,14,36,30,4,224223,2318209,2023,8/17/2023 0:07,41.820926,-87.577672
10001346,JE670816,1/4/2016 6:31,0216X N MAIN ST,1158,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,TRUE,1960,22,24,58,4,223413,2318900,2016,1/4/2016 6:31,41.890054,-87.658639
10001347,JE188536,1/27/2023 22:06,3203X N MAIN ST,1141,THEFT,RETAIL THEFT,STREET,FALSE,TRUE,1250,4,16,7,15,223520,2317984,2023,1/27/2023 22:06,41.798488,-87.64795
10001348,JE615934,7/15/2015 15:52,4920X N MAIN ST,0508,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,540,4,46,26,1,222212,2317794,2015,7/15/2015 15:52,41.77942,-87.778764
10001349,JE568524,11/30/2018 17:34,6979X N MAIN ST,1540,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,740,16,2,27,4,224031,2318312,2018,11/30/2018 17:34,41.831226,-87.596889
10001350,JE264190,7/11/2022 1:51,7201X N MAIN ST,1988,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,FALSE,FALSE,1210,13,28,20,3,223248,2318695,2022,7/11/2022 1:51,41.869581,-87.675179
10001351,JE119902,9/12/2017 20:53,0526X N MAIN ST,0217,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,1130,14,28,13,10,221733,2318227,2017,9/12/2017 20:53,41.82272,-87.826692
10001352,JE568641,4/13/2015 18:48,9643X N MAIN ST,1094,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,FALSE,FALSE,410,9,3,3,24,223730,2319691,2015,4/13/2015 18:48,41.969173,-87.626999
10001353,JE702059,2/5/2021 21:49,0050X N MAIN ST,0745,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,TRUE,FALSE,1910,3,21,23,2,223679,2319002,2021,2/5/2021 21:49,41.900289,-87.632028
10001354,JE961627,6/5/2015 15:51,8142X N MAIN ST,1968,BATTERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,1650,17,32,29,21,222076,2318979,2015,6/5/2015 15:51,41.897962,-87.79236
10001355,JE732277,12/4/2019 23:43,9119X N MAIN ST,1635,THEFT,RETAIL THEFT,APARTMENT,FALSE,FALSE,1150,13,7,20,7,225005,2318000,2019,12/4/2019 23:43,41.800071,-87.499449
10001356,JE971279,6/9/2020 0:30,2855X N MAIN ST,1660,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,TRUE,FALSE,560,7,48,66,22,223184,2317644,2020,6/9/2020 0:30,41.764408,-87.681514
10001357,JE946214,5/17/2021 20:58,0241X N MAIN ST,0237,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,2430,9,11,56,22,223204,2319582,2021,5/17/2021 20:58,41.958246,-87.679557
10001358,JE210825,7/28/2015 0:32,1459X N MAIN ST,0941,THEFT,OVER $500,STREET,FALSE,TRUE,500,22,43,4,21,222912,2317929,2015,7/28/2015 0:32,41.792997,-87.708785
10001359,JE346636,1/25/2016 9:54,6052X N MAIN ST,1501,MOTOR VEHICLE THEFT,AUTOMOBILE,SIDEWALK,FALSE,FALSE,1670,,33,77,17,224173,2317364,2016,1/25/2016 9:54,41.736415,-87.582646
10001360,JE566046,1/12/2020 13:57,0368X N MAIN ST,1596,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1380,21,38,38,22,223400,2319517,2020,1/12/2020 13:57,41.951701,-87.659936
10001361,JE418886,10/17/2015 22:34,8768X N MAIN ST,0383,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,400,15,23,67,17,223615,2317120,2015,10/17/2015 22:34,41.712053,-87.638407
10001362,JE665287,12/9/2019 5:32,2828X N MAIN ST,0226,BURGLARY,FORCIBLE ENTRY,STREET,FALSE,FALSE,760,18,3,54,16,222643,2317935,2019,12/9/2019 5:32,41.793594,-87.73565
10001363,JE414106,1/6/2017 11:53,9760X N MAIN ST,0925,BATTERY,SIMPLE,SIDEWALK,FALSE,TRUE,1750,22,6,21,17,223151,2319152,2017,1/6/2017 11:53,41.91525,-87.684855
10001364,JE686876,8/15/2021 6:17,8269X N MAIN ST,0408,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,TRUE,FALSE,2020,13,38,62,22,224021,2318068,2021,8/15/2021 6:17,41.806803,-87.597837
10001365,JE928868,8/8/2021 2:22,1449X N MAIN ST,1718,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,380,12,28,6,16,225005,2318925,2021,8/8/2021 2:22,41.892585,-87.499472
10001366,JE449497,12/26/2016 3:31,6184X N MAIN ST,0825,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,SIDEWALK,FALSE,TRUE,2480,15,38,51,6,223922,2318618,2016,12/26/2016 3:31,41.861867,-87.607765
10001367,JE975651,10/13/2021 21:59,9992X N MAIN ST,0870,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,730,24,17,55,1,223376,2318787,2021,10/13/2021 21:59,41.87873,-87.662361
10001368,JE454437,9/13/2016 19:04,1675X N MAIN ST,0890,BATTERY,AGGRAVATED,APARTMENT,TRUE,TRUE,2480,12,38,,21,222811,2318269,2016,9/13/2016 19:04,41.826962,-87.718889
10001369,JE378835,5/27/2016 10:00,8760X N MAIN ST,0919,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,FALSE,FALSE,1380,8,40,6,14,222101,2317670,2016,5/27/2016 10:00,41.767017,-87.789827
10001370,JE545555,5/18/2020 16:09,0362X N MAIN ST,1376,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,320,10,5,28,4,222833,2319171,2020,5/18/2020 16:09,41.917148,-87.716606
10001371,JE960617,2/16/2023 7:15,3352X N MAIN ST,1563,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,690,7,31,53,1,221733,2318808,2023,2/16/2023 7:15,41.880877,-87.82665
10001372,JE198980,6/29/2015 20:58,6564X N MAIN ST,0780,BATTERY,AGGRAVATED,RETAIL STORE,FALSE,FALSE,1890,1,11,47,9,225002,2319413,2015,6/29/2015 20:58,41.94133,-87.499747
10001373,JE781874,12/9/2017 7:07,0518X N MAIN ST,1887,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",APARTMENT,TRUE,FALSE,840,9,2,73,14,223799,2318095,2017,12/9/2017 7:07,41.80958,-87.620033
10001374,JE909919,6/22/2023 12:47,8451X N MAIN ST,0359,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1620,18,37,70,21,223607,2318378,2023,6/22/2023 12:47,41.83782,-87.639262
10001375,JE201605,3/7/2023 10:00,4449X N MAIN ST,0263,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1150,17,7,29,11,223578,2318474,2023,3/7/2023 10:00,41.847475,-87.642173
10001376,JE832829,1/10/2022 7:24,9532X N MAIN ST,0910,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1500,15,20,65,13,223567,2319226,2022,1/10/2022 7:24,41.922684,-87.643215
10001377,JE942613,1/5/2016 7:20,0808X N MAIN ST,0326,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,FALSE,TRUE,440,24,39,24,2,223971,2318461,2016,1/5/2016 7:20,41.846108,
10001378,JE468323,1/19/2019 23:15,1858X N MAIN ST,0244,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1180,22,47,8,8,223136,2319832,2019,1/19/2019 23:15,41.983282,-87.686351
10001379,JE429659,8/26/2023 11:35,4073X N MAIN ST,0941,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,FALSE,FALSE,1750,5,7,66,19,224189,2317840,2023,8/26/2023 11:35,41.784006,-87.581044
10001380,JE722977,8/17/2015 7:24,9379X N MAIN ST,0716,BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,860,17,38,33,6,224563,2319004,2015,8/17/2015 7:24,,-87.543618
10001381,JE552292,3/17/2019 20:43,8152X N MAIN ST,0940,THEFT,RETAIL THEFT,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,2120,14,17,21,1,223173,2318618,2019,3/17/2019 20:43,41.861898,-87.68263
10001382,JE456428,7/13/2018 10:27,8807X N MAIN ST,1927,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,FALSE,TRUE,1250,10,50,41,8,225022,2317659,2018,7/13/2018 10:27,41.765947,-87.497782
10001383,JE370625,10/28/2021 7:01,6627X N MAIN ST,1893,THEFT,FROM BUILDING,APARTMENT,TRUE,FALSE,430,21,12,54,11,224081,2319771,2021,10/28/2021 7:01,41.977112,-87.591823
10001384,JE340021,6/13/2019 12:40,0880X N MAIN ST,0118,BURGLARY,UNLAWFUL ENTRY,STREET,FALSE,FALSE,1820,14,11,24,4,223364,2318558,2019,6/13/2019 12:40,41.85585,-87.663519
10001385,JE827658,7/19/2023 9:51,7766X N MAIN ST,0736,THEFT,RETAIL THEFT,RESIDENCE,FALSE,FALSE,2050,11,40,9,13,222330,2319564,2023,7/19/2023 9:51,41.956411,-87.766974
10001386,JE659319,2/24/2018 17:45,8472X N MAIN ST,1409,THEFT,FROM BUILDING,STREET,TRUE,FALSE,250,1,49,69,1,225106,2317992,2018,2/24/2018 17:45,41.799284,-87.489306
10001387,JE305399,6/11/2019 20:30,1297X N MAIN ST,0454,THEFT,OVER $500,APARTMENT,FALSE,FALSE,2350,12,29,2,26,222268,2318661,2019,6/11/2019 20:30,41.866105,-87.773115
10001388,JE769614,1/21/2023 20:26,6964X N MAIN ST,0255,BATTERY,SIMPLE,STREET,TRUE,TRUE,380,6,4,27,17,224503,2318518,2023,1/21/2023 20:26,41.851865,-87.549692
10001389,JE717340,5/14/2020 18:21,6323X N MAIN ST,1874,BATTERY,AGGRAVATED,OTHER,FALSE,FALSE,220,15,36,45,21,223550,2318488,2020,5/14/2020 18:21,41.84886,-87.64493
10001390,JE627918,10/6/2020 17:11,5314X N MAIN ST,1899,THEFT,OVER $500,RETAIL STORE,TRUE,FALSE,2140,25,18,7,2,222318,2318297,2020,10/6/2020 17:11,41.829767,-87.768146
10001391,JE454984,6/5/2018 3:41,2387X N MAIN ST,1881,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,2350,3,8,18,7,222912,2318419,2018,6/5/2018 3:41,41.841944,-87.708734
10001392,JE815309,1/7/2020 4:18,1391X N MAIN ST,1023,THEFT,RETAIL THEFT,OTHER,FALSE,FALSE,2080,13,49,27,8,223656,2317931,2020,1/7/2020 4:18,41.793197,-87.634346
10001393,JE300936,8/11/2022 10:47,9095X N MAIN ST,1203,BURGLARY,FORCIBLE ENTRY,SIDEWALK,FALSE,FALSE,530,3,31,46,23,225355,2319036,2022,8/11/2022 10:47,41.903662,-87.464438
10001394,JE358933,12/26/2023 21:54,0684X N MAIN ST,0622,THEFT,RETAIL THEFT,APARTMENT,FALSE,FALSE,1720,7,3,50,20,226116,2320017,2023,12/26/2023 21:54,42.001721,-87.388378
10001395,JE379723,8/24/2018 8:46,3760X N MAIN ST,0777,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2350,10,1,5,23,222225,2317903,2018,8/24/2018 8:46,41.790311,-87.777492
10001396,JE597203,10/9/2020 19:04,8277X N MAIN ST,0686,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",OTHER,FALSE,FALSE,270,14,23,23,9,223566,2319085,2020,10/9/2020 19:04,41.9086,-87.643393
10001397,JE320479,1/12/2019 19:16,8767X N MAIN ST,1900,BATTERY,AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,260,16,39,28,15,223945,2319541,2019,1/12/2019 19:16,41.954101,-87.6055
10001398,JE352626,3/5/2015 1:41,9761X N MAIN ST,0352,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,TRUE,1260,17,33,33,18,222032,2318588,2015,3/5/2015 1:41,41.858874,-87.796787
10001399,JE901462,5/15/2021 9:37,9812X N MAIN ST,0224,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,900,16,38,18,16,223877,2319022,2021,5/15/2021 9:37,41.902236,-87.612246
10001400,JE949581,8/21/2022 13:08,1468X N MAIN ST,1865,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1630,18,48,49,23,223600,2319018,2022,8/21/2022 13:08,41.901892,-87.639972
10001401,JE571366,4/14/2017 14:53,2667X N MAIN ST,1167,BATTERY,AGGRAVATED,RESIDENCE,FALSE,FALSE,1550,4,10,15,21,223539,2317024,2017,4/14/2017 14:53,41.70241,-87.646012
10001402,JE280777,5/25/2019 22:58,8472X N MAIN ST,1875,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,220,23,37,72,7,224100,2319991,2019,5/25/2019 22:58,41.999167,-87.589997
10001403,JE117068,4/24/2016 20:00,1033X N MAIN ST,1516,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,1280,14,25,15,2,221793,2318141,2016,4/24/2016 20:00,41.814105,-87.8206
10001404,JE849591,1/30/2022 21:38,6329X N MAIN ST,0349,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,TRUE,310,10,13,48,13,223146,2319735,2022,1/30/2022 21:38,41.973592,-87.685331
10001405,JE781444,2/15/2023 22:15,3998X N MAIN ST,1413,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",RESIDENCE,FALSE,FALSE,1600,17,49,7,26,224412,2319895,2023,2/15/2023 22:15,41.989576,-87.558745
10001406,JE304459,6/4/2023 20:49,5159X N MAIN ST,0733,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,FALSE,FALSE,1600,11,44,13,2,224795,2318514,2023,6/4/2023 20:49,41.851487,-87.52043
10001407,JE103678,3/11/2015 1:29,6064X N MAIN ST,1773,THEFT,OVER $500,OTHER,FALSE,FALSE,2510,11,48,76,13,222759,2320116,2015,3/11/2015 1:29,42.011626,-87.724056
10001408,JE800912,3/22/2015 14:57,6389X N MAIN ST,0964,CRIMINAL DAMAGE,TO PROPERTY,STREET,TRUE,FALSE,280,1,42,51,12,224993,2318187,2015,3/22/2015 14:57,41.818741,-87.500636
10001409,JE395900,1/5/2016 17:45,0026X N MAIN ST,1754,BATTERY,SIMPLE,STREET,FALSE,FALSE,920,4,26,76,9,222965,2319249,2016,1/5/2016 17:45,41.924972,-87.703477
10001410,JE550779,11/11/2020 16:39,6877X N MAIN ST,1222,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,FALSE,FALSE,1510,5,25,69,24,222771,2318257,2020,11/11/2020 16:39,41.825748,-87.722866
10001411,JE653600,10/14/2016 19:24,3836X N MAIN ST,1205,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,FALSE,FALSE,1520,17,41,73,4,223610,2317581,2016,10/14/2016 19:24,41.758179,-87.638984
10001412,JE481770,5/29/2022 23:41,0502X N MAIN ST,0859,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RETAIL STORE,FALSE,FALSE,1190,6,24,59,3,221113,2318073,2022,5/29/2022 23:41,41.807367,-87.888642
10001413,JE191200,4/6/2015 21:44,2175X N MAIN ST,0983,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2050,12,30,67,19,223926,2320265,2015,4/6/2015 21:44,42.02654,-87.607377
10001414,JE898021,4/7/2019 9:00,9366X N MAIN ST,0854,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,FALSE,FALSE,2500,3,30,47,11,223555,2317952,2019,4/7/2019 9:00,,-87.644456
10001415,JE803556,4/27/2016 8:29,2261X N MAIN ST,1099,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1640,6,5,13,18,224164,2319549,2016,4/27/2016 8:29,41.954924,-87.583552
10001416,JE244463,3/8/2021 16:09,7140X N MAIN ST,0645,BURGLARY,UNLAWFUL ENTRY,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,460,20,31,43,17,222981,2319160,2021,3/8/2021 16:09,41.916015,-87.701863
10001417,JE379341,12/6/2022 17:56,2161X N MAIN ST,0315,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,980,22,19,48,16,224462,2319491,2022,12/6/2022 17:56,41.9491,-87.553715
10001418,JE232465,11/18/2019 23:49,6016X N MAIN ST,1117,ROBBERY,ARMED: HANDGUN,STREET,TRUE,FALSE,1910,19,2,7,3,224566,2317292,2019,11/18/2019 23:49,41.729264,-87.543376
10001419,JE581671,11/24/2022 18:57,2813X N MAIN ST,0532,ASSAULT,SIMPLE,STREET,FALSE,FALSE,810,16,12,65,6,222929,2318501,2022,11/24/2022 18:57,41.850145,-87.707057
10001420,JE193280,2/1/2023 20:56,7955X N MAIN ST,1165,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,SIDEWALK,TRUE,FALSE,2430,17,12,21,23,225207,2317464,2023,2/1/2023 20:56,41.746453,-87.479245
10001421,JE933451,1/5/2016 14:08,6114X N MAIN ST,0112,BATTERY,AGGRAVATED,APARTMENT,TRUE,FALSE,250,12,36,8,3,224615,2318451,2016,1/5/2016 14:08,41.845122,-87.538453
10001422,JE955933,1/5/2015 21:39,1412X N MAIN ST,0745,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,300,24,3,,8,223557,2318858,2015,1/5/2015 21:39,41.885858,-87.644229
10001423,JE145980,12/10/2019 21:03,0538X N MAIN ST,1046,OTHER OFFENSE,HARASSMENT BY TELEPHONE,ALLEY,FALSE,TRUE,1200,,21,2,1,222422,2318557,2019,12/10/2019 21:03,41.855701,-87.757703
10001424,JE689063,11/9/2022 7:53,5362X N MAIN ST,1531,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,TRUE,FALSE,2170,21,10,73,17,225540,2319032,2022,11/9/2022 7:53,41.903258,-87.44599
10001425,JE237893,6/5/2021 17:13,9752X N MAIN ST,0626,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1300,25,8,53,24,223090,2318316,2021,6/5/2021 17:13,41.831648,-87.690939
10001426,JE312005,2/1/2023 1:32,5094X N MAIN ST,1760,THEFT,RETAIL THEFT,SIDEWALK,TRUE,FALSE,640,25,47,10,2,221825,2319285,2023,2/1/2023 1:32,41.928512,-87.817472
10001427,JE332552,12/11/2018 21:49,3002X N MAIN ST,0240,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,850,7,47,47,15,225592,2318195,2018,12/11/2018 21:49,41.819569,-87.440756
10001428,JE655682,9/18/2017 22:21,0991X N MAIN ST,0930,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,FALSE,FALSE,1490,14,3,55,15,223871,2319047,2017,9/18/2017 22:21,41.904759,-87.612816
10001429,JE673741,1/18/2023 15:16,4975X N MAIN ST,0462,THEFT,OVER $500,APARTMENT,FALSE,FALSE,680,13,41,39,13,224065,2318294,2023,1/18/2023 15:16,41.829442,-87.593488
10001430,JE390141,9/17/2018 10:21,0822X N MAIN ST,0905,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1680,11,23,11,12,224954,2320768,2018,9/17/2018 10:21,42.076898,-87.504538
10001431,JE667114,5/1/2021 17:11,5461X N MAIN ST,1947,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,FALSE,FALSE,370,2,32,40,24,222599,2318463,2021,5/1/2021 17:11,41.846324,-87.740027
10001432,JE204980,2/21/2016 17:56,7581X N MAIN ST,1695,THEFT,$500 AND UNDER,RETAIL STORE,TRUE,FALSE,1090,4,39,3,5,223826,2318842,2016,2/21/2016 17:56,41.884259,-87.617393
10001433,JE285752,12/29/2019 17:43,2756X N MAIN ST,1398,BATTERY,AGGRAVATED,RESIDENCE,TRUE,TRUE,1930,20,24,30,11,222652,2319235,2019,12/29/2019 17:43,41.923548,-87.734766
10001434,JE186709,11/1/2022 17:05,2216X N MAIN ST,0473,ROBBERY,ARMED: HANDGUN,RESTAURANT,TRUE,FALSE,900,19,23,8,1,226203,2318581,2022,11/1/2022 17:05,41.858151,-87.379635
10001435,JE453643,11/5/2022 16:58,3516X N MAIN ST,1867,THEFT,$500 AND UNDER,RESIDENCE,TRUE,FALSE,560,12,42,76,9,221619,2318975,2022,11/5/2022 16:58,41.897531,-87.83801
10001436,JE204745,10/23/2018 8:02,7258X N MAIN ST,1542,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,430,15,39,71,2,224208,2318363,2018,10/23/2018 8:02,41.836347,-87.579112
10001437,JE798799,8/13/2021 3:43,1078X N MAIN ST,0198,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,1100,10,44,28,10,222927,2320319,2021,8/13/2021 3:43,42.031976,-87.707261
10001438,JE465124,9/27/2022 14:57,2066X N MAIN ST,0164,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,TRUE,FALSE,1190,2,33,37,3,221999,2319135,2022,9/27/2022 14:57,41.913582,-87.800013
10001439,JE745266,11/17/2021 11:58,2856X N MAIN ST,1217,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2040,25,16,48,22,223730,2317128,2021,11/17/2021 11:58,41.712893,-87.626954
10001440,JE610544,1/20/2019 19:24,9329X N MAIN ST,1282,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,TRUE,140,13,37,55,18,223155,2318757,2019,1/20/2019 19:24,41.875721,-87.684411
10001441,JE602249,1/16/2023 11:28,8208X N MAIN ST,0646,THEFT,OVER $500,APARTMENT,TRUE,FALSE,420,23,14,25,19,224062,2320095,2023,1/16/2023 11:28,42.00957,-87.593735
10001442,JE511702,11/2/2022 15:23,8041X N MAIN ST,1038,ROBBERY,ARMED: HANDGUN,RESIDENCE,TRUE,FALSE,2270,6,22,42,1,224079,2320693,2022,11/2/2022 15:23,42.069361,-87.592091
10001443,JE428312,2/15/2015 9:04,4180X N MAIN ST,0366,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,FALSE,570,10,7,59,18,223072,2316617,2015,2/15/2015 9:04,41.661749,
10001444,JE916943,1/15/2022 3:11,2449X N MAIN ST,0548,BATTERY,AGGRAVATED,APARTMENT,FALSE,FALSE,880,11,7,,1,223092,2318208,2022,1/15/2022 3:11,41.820895,-87.69079
10001445,JE473470,6/13/2015 15:41,4003X N MAIN ST,0111,BURGLARY,FORCIBLE ENTRY,STREET,FALSE,FALSE,2550,18,36,53,17,223900,2317993,2015,6/13/2015 15:41,41.799301,-87.609932
10001446,JE933175,4/22/2016 1:05,2230X N MAIN ST,1362,BATTERY,SIMPLE,STREET,FALSE,FALSE,820,22,22,59,11,223489,2319723,2016,4/22/2016 1:05,41.972304,-87.651058
10001447,JE191988,3/29/2021 9:50,2802X N MAIN ST,1315,MOTOR VEHICLE THEFT,AUTOMOBILE,RETAIL STORE,FALSE,FALSE,2070,14,20,22,13,223613,2318366,2021,3/29/2021 9:50,41.836685,-87.638609
10001448,JE936071,9/11/2017 14:26,0139X N MAIN ST,1911,THEFT,OVER $500,RESTAURANT,FALSE,FALSE,1270,12,23,67,6,225545,2320128,2017,9/11/2017 14:26,42.012866,-87.44541
10001449,JE101150,3/12/2020 11:56,7290X N MAIN ST,0334,THEFT,OVER $500,APARTMENT,FALSE,TRUE,980,6,15,71,1,223383,2318238,2020,3/12/2020 11:56,41.823809,-87.661624
10001450,JE170805,11/20/2016 12:06,5777X N MAIN ST,1957,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2110,4,34,74,16,223375,2318954,2016,11/20/2016 12:06,41.895493,-87.662462
10001451,JE627573,5/5/2021 23:06,7153X N MAIN ST,0533,BURGLARY,FORCIBLE ENTRY,SIDEWALK,TRUE,FALSE,950,18,36,11,24,224504,2320059,2021,5/5/2021 23:06,42.005983,-87.549587
